BIBTEXKEY,JOURNAL,TITLE,ABSTRACT,ISSN,ISBN,DOI
decher_diversity_1999,Journal of Zoology,Diversity and structure of terrestrial small mammal communities in different vegetation types on the {Accra} {Plains} of {Ghana,NA,0952-8369,NA,10.1111/j.1469-7998.1999.tb01002.x
ba_ecology_2013,African Journal of Ecology,Ecology of a typical {West} {African} {Sudanian} savannah rodent community.,"The small-mammal community of a typical Sudanian savannah area of south-eastern Senegal was studied by way of intensive sampling at the beginning (July) and at the end (November) of the rainy season. A total of 5931 trapnights and 200 pitfallnights yielded 767 small mammals, including 757 rodents of 12 species, as well as a few shrews and hedgehogs. Accumulation curve indicated that the rodent community was well sampled. Murine rodents were far more numerous than gerbilline rodents, and among them, Mastomys erythroleucus was the dominant species, being caught in high numbers in all habitats. Arvicanthis niloticus and Praomys daltoni were also abundant, followed by Mastomys natalensis and Gerbilliscus guineae. Abundances were high at the beginning of the rainy season when reproductive activity was low in all species. At the end of the rainy season, murine rodents were actively involved in reproduction, while gerbilline rodents were at their lowest density. Significant changes in relative abundance among habitats (including human dwellings) were observed between periods in some species, suggesting seasonal trends in habitat preferences. This may help species coexistence in this species-rich rodent community, in an area likely to be submitted to significant habitat alterations in the years to come.",0141-6707; 1365-2028,NA,10.1111/aje.12055
reynolds_silent_2010,American Journal of Tropical Medicine,"A {Silent} {Enzootic} of an {Orthopoxvirus} in {Ghana}, {West} {Africa}: {Evidence} for {Multi}-{Species} {Involvement} in the {Absence} of {Widespread} {Human} {Disease",NA,0002-9637,NA,10.4269/ajtmh.2010.09-0716
fair_lassa_2007,Vector-Borne and Zoonotic Diseases,Lassa {Virus}-{Infected} {Rodents} in {Refugee} {Camps} in {Guinea}: {A} {Looming} {Threat} to {Public} {Health} in a {Politically} {Unstable} {Region,NA,"1530-3667, 1557-7759",NA,10.1089/vbz.2006.0581
konecny_indications_2010,African Journal of Ecology,Indications of higher diversity and abundance of small rodents in human-influenced {Sudanian} savannah than in the {Niokolo} {Koba} {National} {Park} ({Senegal}).,"Expansion of human activities in the Sudanian savannah is changing natural habitats together with their animal communities. The abundance and diversity of small mammal communities were investigated in human-influenced savannahs in close proximity to Niokolo Koba National Park (NKNP) in south-eastern Senegal and compared with those from NKNP. Two localities were sampled in natural and two in human-influenced areas during two dry and two rainy seasons. Total sampling effort was 5400 trap-nights. Ninety-eight individuals of eleven species were captured outside NKNP, while only 28 individuals of five rodent species were caught inside the park (all of which were found also outside NKNP). The most abundant species outside NKNP was Mastomys erythroleucus, while inside NKNP it was Praomys daltoni. Both relative abundance and diversity were significantly higher in human-influenced landscape than in natural savannahs of NKNP. The difference in species richness may be linked with lower population densities of certain species in NKNP and the effect of traditional agriculture, which may support the presence of species typical for deforested landscape. Furthermore, food availability, and predator abundances are discussed as possible reasons for the higher rodent abundances outside NKNP.",0141-6707,NA,NA
marien_movement_2018,EcoHealth,Movement {Patterns} of {Small} {Rodents} in {Lassa} {Fever}-{Endemic} {Villages} in {Guinea,"The Natal multimammate mouse (Mastomys natalensis) is the reservoir host of Lassa arenavirus, the etiological agent of Lassa fever in humans. Because there exists no vaccine for human use, rodent control and adjusting human behavior are currently considered to be the only options for Lassa fever control. In order to develop efficient rodent control programs, more information about the host's ecology is needed. In this study, we investigated the spatial behavior of M. natalensis and other small rodents in two capture-mark-recapture and four dyed bait (Rhodamine B) experiments in Lassa fever-endemic villages in Upper Guinea. During the capture-mark-recapture studies, 23\% of the recaptured M. natalensis moved between the houses and proximate fields. While M. natalensis was found over the entire study grid (2Â ha), other rodent species (Praomys daltoni, Praomys rostratus, Lemniscomys striatus, Mus spp.) were mostly trapped in the surrounding fields. Distances between recapture occasions never exceeded 100Â m for all rodent species. During the dyed bait experiments, 11\% of M. natalensis and 41\% of P. daltoni moved from the fields to houses. We conclude that commensal M. natalensis easily moves between houses and proximate fields in Guinea. We therefore consider occasional domestic rodent elimination to be an unsustainable approach to reduce Lassa virus transmission risk to humans, as M. natalensis is likely to reinvade houses quickly from fields in which rodents are not controlled. A combination of permanent rodent elimination with other control strategies (e.g., make houses rodent proof or attract predators) could be more effective for Lassa fever control, but must be further investigated.",1612-9210,NA,10.1007/s10393-018-1331-8
dossou_invasive_2020,Biotechnologie Agronomie Societe et Environnement,"Invasive rodents and damages to food stocks: a study in the {Autonomous} {Harbor} of {Cotonou}, {Benin}.","Description of the subject. Rodents may be major pests to crops and stored food, thus threatening food security. Among them, invasive species such as rats and mice are of particular concern since they are disseminated globally following international trade. We investigated the small mammal assemblage within the international seaport of Cotonou, Benin, in order to determine the relative importance and distribution of native vs invasive rodent species, as well as to evaluate the amount and associated costs of rodent-induced damages on imported 'exported stored goods (here, rice). Objectives. Description of rodent assemblages within an African seaport, and evaluation of the associated damages on stored food stocks. Method. Rodent communities were described following trapping results while associated damages and costs were evaluated following a 25 days-long monitoring campaign and subsequent economic estimation of loss. Results. Our results show that invasive mice and rats are, from far, the most impacting rodents in the storage warehouses, and that the associated economic losses are quite large. Moreover, we point towards a few environmental management procedures that may greatly reduce the impact of rodents on stored goods. Conclusions. Damages and costs due to invasive rodents within the Cotonou Harbor are so that they justify financial investment in rodent population control.",1370-6233,NA,NA
felix_houphouet-boigny_university_cote_divoire_terrestrial_2018,Nature Conservation Research,"Terrestrial small mammal diversity and abundance in {TaÃ¯} {National} {Park}, {CÃ´te} d'{Ivoire",NA,2500008X,NA,10.24189/ncr.2018.067
olayemi_new_2016,Scientific Reports,New {Hosts} of {The} {Lassa} {Virus,"Lassa virus (LASV) causes a deadly haemorrhagic fever in humans, killing several thousand people in West Africa annually. For 40 years, the Natal multimammate rat, Mastomys natalensis, has been assumed to be the sole host of LASV. We found evidence that LASV is also hosted by other rodent species: the African wood mouse Hylomyscus pamfi in Nigeria, and the Guinea multimammate mouse Mastomys erythroleucus in both Nigeria and Guinea. Virus strains from these animals were isolated in the BSL-4 laboratory and fully sequenced. Phylogenetic analyses of viral genes coding for glycoprotein, nucleoprotein, polymerase and matrix protein show that Lassa strains detected in M. erythroleucus belong to lineages III and IV. The strain from H. pamfi clusters close to lineage I (for S gene) and between II \& III (for L gene). Discovery of new rodent hosts has implications for LASV evolution and its spread into new areas within West Africa.",2045-2322,NA,10.1038/srep25280
hima_native_2019,Diversity,"Native and {Invasive} {Small} {Mammals} in {Urban} {Habitats} along the {Commercial} {Axis} {Connecting} {Benin} and {Niger}, {West} {Africa","Based on compiled small mammal trapping data collected over 12 years from Benin and Niger (3701 individual records from 66 sampling sites), located in mainland Africa, we here describe the small mammal community assemblage in urban habitats along the commercial axis connecting the two countries, from the seaport of Cotonou to the Sahelian hinterland, with a particular focus on invasive species. In doing so, we document extant species distributions, which highlight the risks of continuing the range expansion of three synanthropic invasive rodent species, namely black rats (Rattus rattus), brown rats (R. norvegicus), and house mice (Mus musculus). Using various diversity estimates and community ecology approaches, we detect a latitudinal gradient of species richness that significantly decreased Northward. We show that shrews (Crocidura) represent a very important component of micro-mammal fauna in West African towns and villages, especially at lower latitudes. We also demonstrate that invasive and native synanthropic rodents do not distribute randomly in West Africa, which suggests that invasive species dynamics and history differ markedly, and that they involve gradual, as well as human-mediated, long distance dispersal. Patterns of segregation are also observed between native Mastomys natalensis and invasive rats R. rattus and R. norvegicus, suggesting potential native-to-invasive species turn over. Consequences of such processes, especially in terms of public health, are discussed.",NA,NA,10.3390/d11120238
