BIBTEXKEY,JOURNAL,TITLE,ABSTRACT,ISSN,ISBN,DOI
nayak_quantification_2001,ANALYST,Quantification and validation of enzyme immunoassay for urinary aflatoxin {B}-1-{N}-7-guanine adduct for biological monitoring of aflatoxins,"The aflatoxin B-1-N-7-guanine (AFB(1)-N-7-guanine) adduct has been established as one of the relevant biomarkers of dietary aflatoxin (AFB(1)) exposure. Measurement of this adduct is potentially a useful dosimeter in molecular epidemiological studies. This paper reports the application and evaluation of a sensitive indirect competitive enzyme-linked immunosorbent assay (ELISA) for the detection and quantification of urinary AFB(1)-N-7-guanine adduct in high risk populations exposed to dietary aflatoxin. Earlier, we had reported a simple and rapid indirect ELISA method for AFB(1)-N-7-guanine adduct in the urine and liver tissues using polyclonal antibodies specific to AFB(1)-N-7-guanine adduct. The method was evaluated using a rodent model (Fischer 344), exposed to 1 mg kg(-1) body mass of AFB(1) and human urine samples obtained from a maize eating population, environmentally exposed to AFB(1) through their diet. The levels of AFB(1)-N-7-guanine adduct in rat and human urine ranged from 6.42 to 20.16 mug mg(-1) creatinine and from 9.30 to 13.43 ng mg(-1) creatinine, respectively. The level of AFB(1) in the diet as estimated by ELISA ranged from 1000 to 3600 ng d(-1). The interesting observation in these studies is that the females (in both rodents and human subjects) are more efficient than males at excreting the adduct. Total adduct (DNA bound adduct and guanine adduct excreted in urine) was found to be similar in male and female rats. However, 63\% of the total adduct was accounted for in urine of female rats, whereas male rats excreted 47\% of the total adduct in their urine. The present method may find wide application as a biochemical tool in molecular epidemiological studies with respect to human exposure to dietary aflatoxins.",0003-2654,NA,10.1039/b005778i
yates_auditory_2014,AUDIOLOGY AND NEURO-OTOLOGY,"Auditory {Brainstem} {Responses} of {Ephrin}-{A2}(-/-), {Ephrin}-{A5}(-/-) and {Ephrin}-{A2A5}(-/-) {Mice","Eph receptors and ephrin ligands are large families of cell surface proteins which have established roles in axonal growth and guidance. These are well characterized in the visual and somatosensory systems but are less well documented in the auditory pathway. We examined the possible functional role of two ephrin genes (ephrin-A2 and ephrinA5) in the auditory system by measuring auditory brainstem responses (ABR) to tone bursts from 6 to 30 kHz in ephrinA2 (-/-), ephrin-A5(-/-) and ephrin-A2A5(-/-) (knockout) mice. At high frequencies, the ephrin-A2A5(-/-) mice exhibited thresholds that were significantly lower than in wild-type mice by approximately 20 dB, suggesting ephrin-A2 and ephrin-A5 may have frequency-specific effects on the auditory system. There were also alterations in ABR wave peak amplitudes that were specific to each mouse strain which suggested both peripheral and central involvement of EphA-ephrin-A signalling in auditory function. (C) 2014 S. Karger AG, Basel",1420-3030,NA,10.1159/000357029
schofield_ascending_2002,JOURNAL OF COMPARATIVE NEUROLOGY,Ascending and descending projections from the superior olivary complex in guinea pigs: {Different} cells project to the cochlear nucleus and the inferior colliculus,"The superior olivary complex is a source of ascending projections to the inferior colliculus and descending projections to the cochlear nucleus. We used multiple-labeling techniques with fluorescent retrograde tracers to determine whether individual superior olivary cells project to the inferior colliculus and the cochlear nucleus. Almost all labeled cells contained one tracer, suggesting that they projected to only one of the injected targets. A small number of cells sent collateral projections to the ipsilateral cochlear nucleus and ipsilateral inferior colliculus. The double-labeled cells constituted fewer than 2\% of the cells that projected to the cochlear nucleus or to the inferior colliculus. There was no evidence for cells projecting to both contralateral targets or to one ipsilateral target and one contralateral target. We conclude that the ascending projections to the inferior colliculus and the descending projections to the cochlear nucleus arise almost exclusively from separate populations of cells in the superior olivary complex. Their separate origins suggest that these projections are sending different information to higher and lower centers of the auditory pathways. (C) 2002 Wiley-Liss, Inc.",0021-9967,NA,10.1002/cne.10402
imran_bioactivity-directed_2021,Journal of ethnopharmacology,"Bioactivity-directed evaluation of fruit of {Kigelia} africana ({Lam}.) benth. {Used} in treatment of malaria in {Iwo}, {Nigeria}.","ETHNOPHARMACOLOGICAL RELEVANCE: The ancient people of Iwo communities consisting of Ile-Ogbo, Olupona, Iwo and Ogbagba continue to engage in the traditional use of medicinal plants for the treatment and management of common diseases especially malaria., AIMS OF THIS STUDY: This study conducted an ethnomedicinal survey of plants used to treat malaria and feverish conditions by the people of Iwo, Nigeria. It also evaluated the antiplasmodial activity of the morphological parts of Kigelia africana (Lam.) Benth., and isolated, as well as characterised pure compounds from the semi-purified fractions of the fruit extract., MATERIALS AND METHODS: The ethnomedicinal survey was conducted using semi-structured questionnaires administered to only herb sellers in Iwo, Ile-Ogbo, Olupona, and Ogbagba areas of Osun State. Extracts of K. africana morphological parts; leaf, root, stem bark, and fruit were obtained by cold maceration in methanol, followed by assessment of acute toxicity (LD50) and antiplasmodial activity in Plasmodium berghei infected rats using the 4-day suppressive test model. The most active fruit extract was further subjected to activity-guided fractionation and purification using n-hexane, dichloromethane, ethyl acetate (EtOAc), n-butanol (n-BuOH), and methanol (MeOH) in gradients to obtain the semi-purified fractions and two pure isolated compounds using various chromatographic and spectroscopic techniques., RESULTS AND DISCUSSION: From the survey, thirty-one plant species were identified for treating malaria in Iwo area. Azadirachta indica leaf was the most frequently used (78.3\% of the respondents) while Manihot esculenta leaf (3.33\%) was the least. The identified plants are distributed among 24 families, with Anacardiaceae and Asteraceae (11.67\% each) been the most occurring families. Kigelia africana (Bignoniaceae) ranked the 6th position with 60\% frequency of occurrence. The LD50 values obtained for the extracts were greater than 5000 mg/kg (p.o). The chemo-suppression activity of the extracts at 125 mg/kg was in the order of stem bark (26.59\%), leaf (41.75\%), root (43.95\%), and fruit (54.54\%). The semi-purified methanol fraction of the fruit showed the most antiplasmodial activity with a percent chemo-suppression of 69.94 and yielded 4-(2,3-dihydroxypropoxy)-3,5-dihydroxy-5-methylfuran-2-one and sucrose., CONCLUSION: The use of herbs and medicinal plants either singly or in combination for the treatment of malaria among the people of Iwo community in Nigeria is still well practised. Lack of formal education among most of the respondents and use of same local name for different plants species or plant parts; which often lead to wrong plant collection were among the constrains encountered. Kigelia africana has antiplasmodial activity in the order of fruit {\textgreater} root {\textgreater} leaf {\textgreater} stem bark. Copyright Â© 2020 Elsevier B.V. All rights reserved.",1872-7573,NA,10.1016/j.jep.2020.113680
uwaifo_mutation_1983,Cancer research,Mutation of {Chinese} {Hamster} {V79} cells and transformation and mutation of mouse fibroblast {C3H}/{10T1}/2 clone 8 cells by aflatoxin {B1} and four other furocoumarins isolated from two {Nigerian} medicinal plants.,"Mutation by aflatoxin B1 (AFB1), imperatorin, marmesin, chalepin, and 8-methoxypsoralen (MOP), with and without black light (BL; long-wavelength ultraviolet light) activation, was determined at the hypoxanthine-guanine phosphoribosyltransferase locus (8-azaguanine resistance) in Chinese hamster V79 cells and at the ouabain locus in mouse C3H/1OT1/2 cells. Transformation by these furocoumarins under the same activation conditions was also investigated in C3H/1OT1/2 cells. In V79 cells, AFB1 induced a 4-fold maximum mutation frequency over controls under BL activation at a concentration of 5 micrograms/ml; marmesin induced a 2-fold increased mutation frequency at 1.5 micrograms/ml; MOP induced a 19-fold increase at 10 micrograms/ml; chalepin induced a 3-fold increase at 5 micrograms/ml; and imperatorin induced a 20-fold increase at 10 micrograms/ml. Essentially no mutation was observed at the ouabain-resistant (Ouar) locus in C3H/1OT1/2 cells with any of these compounds. In the transformation assays, type II and type III foci were observed at a 1-microgram/ml addition of AFB1 with or without BL activation; while with MOP and imperatorin, these types of foci were observed only with BL activation. Marmesin, although relatively more cytotoxic than the other furocoumarins studied, with a 50\% lethal dose of less than 0.5 micrograms/ml, was not as mutagenic or potentially carcinogenic as were AFB1, imperatorin, or MOP with BL activation. These furocoumarins are considered to be involved in the etiology of the high incidence of skin cancer in Nigeria. Our experiments reinforce that concept and suggest that exposure to these furocoumarins may constitute a real carcinogenic hazard.",0008-5472,NA,NA
leski_sequence_2015-1,Emerging infectious diseases,"Sequence variability and geographic distribution of {Lassa} virus, {Sierra} {Leone}.","Lassa virus (LASV) is endemic to parts of West Africa and causes highly fatal hemorrhagic fever. The multimammate rat (Mastomys natalensis) is the only known reservoir of LASV. Most human infections result from zoonotic transmission. The very diverse LASV genome has 4 major lineages associated with different geographic locations. We used reverse transcription PCR and resequencing microarrays to detect LASV in 41 of 214 samples from rodents captured at 8 locations in Sierra Leone. Phylogenetic analysis of partial sequences of nucleoprotein (NP), glycoprotein precursor (GPC), and polymerase (L) genes showed 5 separate clades within lineage IV of LASV in this country. The sequence diversity was higher than previously observed; mean diversity was 7.01\% for nucleoprotein gene at the nucleotide level. These results may have major implications for designing diagnostic tests and therapeutic agents for LASV infections in Sierra Leone.",1080-6059,NA,10.3201/eid2104.141469
gambassi_effects_1993,JOURNAL OF GENERAL PHYSIOLOGY,EFFECTS} {OF} {ACIDOSIS} {ON} {RESTING} {CYTOSOLIC} {AND} {MITOCHONDRIAL} {CA2}+ {IN} {MAMMALIAN} {MYOCARDIUM,"Acidosis increases resting cytosolic [Ca2+], (Ca(i)) of myocardial preparations; however, neither the Ca2+ sources for the increase in Ca(i) nor the effect of acidosis on mitochondrial free [Ca2+], (Ca(m)) have been characterized. In this study cytosolic pH (pH(i)) was monitored in adult rat left ventricular myocytes loaded with the acetoxymethyl ester (AM form) of SNARF-1. A stable decrease in the pH(i) of 0.52 +/- 0.05 U (n = 16) was obtained by switching from a bicarbonate buffer equilibrated with 5\% CO2 to a buffer equilibrated with 20\% CO2. Electrical stimulation at either 0.5 or 1.5 Hz had no effect on pH(i) in 5\% CO2, nor did it affect the magnitude of pH(i) decrease in response to hypercarbic acidosis. Ca(i) was measured in myocytes loaded with indo-1/free acid and Ca(m) was monitored in cells loaded with indo-1/AM after quenching cytosolic indo-I fluorescence with MnCl2. In quiescent intact myocytes bathed in 1.5 mM [Ca2+], hypercarbia increased Ca(i) from 130 +/- 5 to 221 +/- 13 nM. However, when acidosis was effected in electrically stimulated myocytes, diastolic Ca(i) increased more than resting Ca(i) in quiescent myocytes, and during pacing at 1.5 Hz diastolic Ca(i) was higher (285 +/- 17 nM) than at 0.5 Hz (245 +/- 18 nM; P {\textless} 0.05). The magnitude of Ca(i) increase in quiescent myocytes was not affected either by sarcoplasmic reticulum (SR) Ca2+ depletion with ryanodine or by SR Ca2+ depletion and concomitant superfusion with a Ca2+-free buffer. In unstimulated intact myocytes hypercarbia increased Ca(m) from 95 +/- 12 to 147 +/- 19 nM and this response was not modified either by ryanodine and a Ca2+-free buffer or by 50 muM ruthenium red in order to block the mitochondrial uniporter. In mitochondrial suspensions loaded either with BCECF/AM or indo-1/AM, acidosis produced by lactic acid addition decreased both intra- and extramitochondrial pH and increased Ca(m). Studies of mitochondrial suspensions bathed in indo-1/free acid-containing solution showed an increase in extramitochondrial Ca2+ after the addition of lactic acid. Thus, in quiescent myocytes, cytoplasmic and intramitochondrial buffers, rather than transsarcolemmal Ca2+ influx or SR Ca2+ release, are the likely Ca2+ sources for the increase in Ca(i) and Ca(m), respectively; additionally, Ca2+ efflux from the mitochondria may contribute to the raise in Ca(i). In contrast, in response to acidosis, diastolic Ca(i) in electrically stimulated myocytes increases more than resting Ca(i) in quiescent cells; this suggests that during pacing, net cell Ca2+ gain contributes to enhance diastolic Ca(i).",0022-1295,NA,10.1085/jgp.102.3.575
adu_patterns_2003,Tropical animal health and production,"Patterns of parturition and mortality in weaned greater cane rats ({Thryonomys} swinderianus, {Temminck}).","The patterns of parturition and mortality were studied in a colony of weaned captive greater cane rats, Thryonomys swinderianus, Temminck, from January to December 2000 at the Grasscutter Domestication Centre, Pokoase Research Station, Animal Research Institute, Ghana. The most important finding from the study was that it is practical to wean greater cane rats at 4 weeks of age with proper post-weaning management. Mortality ranged between 0 and 3.9\% with an average of 1.4\% for animals weaned at 4 weeks. Among the factors contributing to mortality in the weaned greater cane rats may be the number of animals per unit space. The mortality in this study was a marked improvement compared to that of 11\% reported elsewhere for animals weaned at 6 weeks. The animals were, however, smaller at weaning compared to those in reports from elsewhere, probably owing to poor lactation by the mothers. Peak parturition occurred in October with captive breeding having no influence on the parturition pattern.",0049-4747,NA,NA
roth_endotoxin_1995,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,ENDOTOXIN} {TOLERANCE} {ALTERS} {THERMAL} {RESPONSE} {OF} {GUINEA}-{PIGS} {TO} {SYSTEMIC} {INFUSIONS} {OF} {TUMOR}-{NECROSIS}-{FACTOR}-{ALPHA,"In guinea pigs, intra-arterial infusions of 5 mu g/kg tumor necrosis factor-alpha (TNF; specific activity 20,000 U/mu g; duration of infusion 45-50 min) evoked a biphasic elevation of abdominal temperature lasting similar to 6 h. One week after systemic infusion of TNF, the animals started to receive either five intramuscular injections of bacterial Lipopolysaccharide (LPS from Escherichia coli; 20 mu g/kg) or equivalent volumes of solvent (0.9\% NaCl) in intervals of 3 days. Fever in response to repeated injections of LPS was progressively attenuated; the animals developed endotoxin tolerance. Repeated injections with solvent did not cause any measurable changes in abdominal temperature. Three days after the fifth injection of LPS or solvent, all animals again received an intra-arterial infusion of 5 mu g/kg TNF. In guinea pigs injected five times with solvent, the biphasic elevation of abdominal temperature could again be observed in response to systemic infusions of TNF. In endotoxin-tolerant animals, however, only the first peak of the biphasic thermal response lasting similar to 60 min could be monitored after infusions with TNF. The second phase of the thermal response to administration of TNF, which normally lasts {\textgreater}5 h, was abrogated almost completely. The significant suppression of the febrile response to TNF infusions did not seem to be caused by a more rapid elimination of TNF from the circulation of endotoxin-tolerant guinea pigs. Circulating levels of TNF, measured 60 and 180 min after the start of TNF infusions, were not different before and after development of endotoxin tolerance. In conclusion, the development of endotoxin tolerance in guinea pigs is accompanied by a reduced responsiveness to TNF administered exogenously.",0363-6119,NA,NA
benkner_characterizing_2013,BEHAVIORAL NEUROSCIENCE,Characterizing {Visual} {Performance} in {Mice}: {An} {Objective} and {Automated} {System} {Based} on the {Optokinetic} {Reflex,"Testing optokinetic head or eye movements is an established method to determine visual performance of laboratory animals, including chickens, guinea pigs, mice, or fish. It is based on the optokinetic reflex which causes the animals to track a drifting stripe pattern with eye and head movements. We have developed an improved version of the optomotor test with better control over the stimulus parameters, as well as a high degree of automation. The stripe pattern is presented on computer monitors surrounding the animal. By tracking the head position of freely moving animals in real time, the visual angle under which the stripes of the pattern appeared was kept constant even for changing head positions. Furthermore, an algorithm was developed for automated evaluation of the tracking performance of the animal. Comparing the automatically determined behavioral score with manual assessment of the animals' tracking behavior confirmed the reliability of our methodology. As an example, we reproduced the known contrast sensitivity function of wild type mice. Furthermore, the progressive decline in visual performance of a mouse model of retinal degeneration, rd10, was demonstrated.",0735-7044,NA,10.1037/a0033944
