gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3315057105	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	beb103f2-377a-4be7-823a-0aad1933ff1b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Ikoto		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182841				CC_BY_4_0					2021-08-31T14:43:22.998Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315056918	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	7daca36d-d0e9-48ae-857b-612895970c71	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Nimule		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-02-21T00:00:00	21	2	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182844				CC_BY_4_0					2021-08-31T14:43:22.980Z		COLLECTION_MATCH_NONE
3315056677	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	c5f35bde-8144-4406-a05d-17b99d948ae3	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Loa		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-04-19T00:00:00	19	4	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182853				CC_BY_4_0					2021-08-31T14:43:22.956Z		COLLECTION_MATCH_NONE
3315056567	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	6826c6bb-a032-4e9e-8d2f-18409dda1f2f	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182860				CC_BY_4_0					2021-08-31T14:43:22.948Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315056055	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	8e7e604a-c407-4380-994d-93f5c713091f	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-11-17T00:00:00	17	11	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182825				CC_BY_4_0					2021-08-31T14:43:22.909Z		COLLECTION_MATCH_NONE
3315055746	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	20c6d431-21bf-43de-8147-377119ae62a0	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182818				CC_BY_4_0					2021-08-31T14:43:22.756Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315055659	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	9b0228d7-b876-4ede-be32-bf209ff5007b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Kapoeta		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-05-21T00:00:00	21	5	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182865				CC_BY_4_0					2021-08-31T14:43:22.750Z		COLLECTION_MATCH_NONE
3315054930	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	706d6628-fb51-4ac4-b91b-5c6355984e97	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Logoforok		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182837				CC_BY_4_0					2021-08-31T14:43:22.688Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315054743	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	7adeac0c-19e6-4133-b6f4-aff4daae0169	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182831				CC_BY_4_0					2021-08-31T14:43:22.678Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315054380	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	a7adbd37-55a0-4a15-9c0d-42ca732391ae	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Ikoto		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182846				CC_BY_4_0					2021-08-31T14:43:22.639Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315054341	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	d625fae9-64df-4ad9-ba4f-116c19032de5	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Ikoto		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182836				CC_BY_4_0					2021-08-31T14:43:22.637Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315054232	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	0db562c1-e91a-472f-bfec-f1cfeb3cafc3	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Lafon, Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1948-08-25T00:00:00	25	8	1948	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182833				CC_BY_4_0					2021-08-31T14:43:22.629Z		COLLECTION_MATCH_NONE
3315053425	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	4ca86b28-4f74-4042-a96f-fa2299ba3aab	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-04-26T00:00:00	26	4	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182816				CC_BY_4_0					2021-08-31T14:43:22.566Z		COLLECTION_MATCH_NONE
3315052690	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	67aacf0d-d277-4883-88e9-a1896714c643	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182820				CC_BY_4_0					2021-08-31T14:43:22.497Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315052128	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	cc4be6ca-5215-47d2-93f8-b6f5fe533b2e	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182852				CC_BY_4_0					2021-08-31T14:43:22.453Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315051980	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	bfe17ae8-3874-4deb-a328-32aa88328efa	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Ikoto		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182849				CC_BY_4_0					2021-08-31T14:43:22.434Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315051671	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	e0ff7bab-d6ba-49ad-bca2-8197994d5c29	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Kapoeta		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-05-30T00:00:00	30	5	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182866				CC_BY_4_0					2021-08-31T14:43:22.399Z		COLLECTION_MATCH_NONE
3315051460	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	b945fbc8-3ecd-47c0-86fc-bfaab6efaf13	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Fula		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-02-20T00:00:00	20	2	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182843				CC_BY_4_0					2021-08-31T14:43:22.388Z		COLLECTION_MATCH_NONE
3315050504	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	dc994605-8539-4d39-95d8-c6c4645bc811	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Terangole		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-04-24T00:00:00	24	4	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182856				CC_BY_4_0					2021-08-31T14:43:22.285Z		COLLECTION_MATCH_NONE
3315049849	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	c601f57d-3adb-4b88-a052-f5ba9ab49375	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-05-24T00:00:00	24	5	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182821				CC_BY_4_0					2021-08-31T14:43:22.223Z		COLLECTION_MATCH_NONE
3315049439	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	2b28810c-9321-4867-9261-9293a83f426b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Loa		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-04-19T00:00:00	19	4	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182854				CC_BY_4_0					2021-08-31T14:43:22.161Z		COLLECTION_MATCH_NONE
3315049318	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	d2dddc3a-7f14-4cbc-a9bd-0bf479379ce7	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-11-17T00:00:00	17	11	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182826				CC_BY_4_0					2021-08-31T14:43:22.154Z		COLLECTION_MATCH_NONE
3315048643	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	eca15e30-1cae-4b84-ba21-d1b7d2c656a5	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-01-17T00:00:00	17	1	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182834				CC_BY_4_0					2021-08-31T14:43:22.116Z		COLLECTION_MATCH_NONE
3315048537	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	0252c197-dfdc-4149-8692-6c1f9c4b1ed7	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Mongalla		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1950-03-14T00:00:00	14	3	1950	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182872				CC_BY_4_0					2021-08-31T14:43:22.064Z		COLLECTION_MATCH_NONE
3315047671	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	f45f2160-96ca-4394-a3cb-2a6b75c3af18	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Ikoto		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182838				CC_BY_4_0					2021-08-31T14:43:22.007Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315047590	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	cb8773e0-b716-495f-9cd7-69ab9d64170c	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Loa		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-04-19T00:00:00	19	4	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182855				CC_BY_4_0					2021-08-31T14:43:22.002Z		COLLECTION_MATCH_NONE
3315047535	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	6ce54982-524c-4984-907c-dfc77cf4e628	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Terangole		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-04-24T00:00:00	24	4	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182858				CC_BY_4_0					2021-08-31T14:43:21.999Z		COLLECTION_MATCH_NONE
3315047288	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	99e0fc8e-1bee-489e-8d79-a8a1028facab	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182812				CC_BY_4_0					2021-08-31T14:43:21.980Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315047171	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	1f87e29a-9933-4879-ab4a-8ba49de37428	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-01-24T00:00:00	24	1	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182835				CC_BY_4_0					2021-08-31T14:43:21.972Z		COLLECTION_MATCH_NONE
3315046760	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	e97a0d89-bbdf-4bc7-90f1-51f5b56e52c7	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-06-26T00:00:00	26	6	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182823				CC_BY_4_0					2021-08-31T14:43:21.950Z		COLLECTION_MATCH_NONE
3315046542	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	9fa7dca2-f93b-46d5-a95b-19e7f034a9e0	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Mongalla		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1950-03-14T00:00:00	14	3	1950	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182875				CC_BY_4_0					2021-08-31T14:43:21.892Z		COLLECTION_MATCH_NONE
3315046454	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	4d5e63ab-4c6f-4782-b4ac-4596998f836a	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Latome		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1950-01-29T00:00:00	29	1	1950	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182871				CC_BY_4_0					2021-08-31T14:43:21.887Z		COLLECTION_MATCH_NONE
3315046351	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	a29e02f3-6ac9-4f75-816d-715f849d964b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Lafon, Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1948-08-25T00:00:00	25	8	1948	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182832				CC_BY_4_0					2021-08-31T14:43:21.876Z		COLLECTION_MATCH_NONE
3315046254	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	ea1f9e5b-4ed6-4f73-9653-ef320bd7795a	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Terangole		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-04-24T00:00:00	24	4	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182859				CC_BY_4_0					2021-08-31T14:43:21.869Z		COLLECTION_MATCH_NONE
3315046168	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	df974e3b-d852-4e3a-b419-d184520a273d	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Kapoeta		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-05-27T00:00:00	27	5	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182867				CC_BY_4_0					2021-08-31T14:43:21.861Z		COLLECTION_MATCH_NONE
3315046050	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	49901947-d806-4ccb-b3d3-2d460f9684c3	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Nimule		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-12-21T00:00:00	21	12	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182828				CC_BY_4_0					2021-08-31T14:43:21.849Z		COLLECTION_MATCH_NONE
3315045839	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	236fc18e-b21e-45e6-bc8d-ab5f06db4063	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Nimule		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182877				CC_BY_4_0					2021-08-31T14:43:21.824Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315045244	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	991fe02e-8a89-469d-b6b5-32e74171d49c	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Ikoto		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182839				CC_BY_4_0					2021-08-31T14:43:21.771Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315044793	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	3dbe16d5-aefd-4b9a-bb3a-a0c3b35ebf4b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Ikoto		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182829				CC_BY_4_0					2021-08-31T14:43:21.727Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3315044721	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	b05fdd92-91b3-47f1-bfcb-6a65ba045a0f	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SS	Torit		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1949-07-22T00:00:00	22	7	1949	9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182878				CC_BY_4_0					2021-08-31T14:43:21.720Z		COLLECTION_MATCH_NONE
3315044616	78b270c5-a5fe-4f1d-b87e-eb0dd7b7ae02	a10855d1-f2c9-40e5-be3e-879b1ad7bf2f	Animalia	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus		SPECIES	Arvicanthis niloticus (É.Geoffroy, 1803)			SD	Ikoto		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e													9733997	9733997	PRESERVED_SPECIMEN	NHMD	MM	182840				CC_BY_4_0					2021-08-31T14:43:21.714Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
