gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3466450332	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/106018003	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus		KE		Nairobi	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.358357	36.716724	184.0						2022-02-01T00:00:00	1	2	2022	2438550	2438550	HUMAN_OBSERVATION	iNaturalist	Observations	106018003		seasav	2022-02-02T13:56:42	CC_BY_NC_4_0	seasav	seasav			2022-02-25T19:41:23.296Z	StillImage	COORDINATE_ROUNDED
3466074062	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/105421840	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus ansorgei		KE		Kwale	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-4.647437	39.38377	32.0						2022-01-22T20:23:17	22	1	2022	2438550	2438550	HUMAN_OBSERVATION	iNaturalist	Observations	105421840		vnsankar	2022-01-24T20:28:07	CC_BY_NC_4_0	Ewout Knoester	Ewout Knoester			2022-02-25T19:59:10.827Z	StillImage	COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK
3443431230	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMND20635-21	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus					PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5													2438550	2438550	MATERIAL_SAMPLE			SC71_Cricetomys_gambianus_udzungwa				CC_BY_4_0	Barcode of Life Datasystems				2022-02-05T20:41:02.140Z		
3421110045	d53b5a65-b746-4703-9047-74a2ae9848a8	A28.7.1924.1	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus Waterhouse, 1840		GH	Accra		PRESENT	1	31f13427-163d-4422-a28f-6f5d14ae2017									1874-01-01T00:00:00			1874	2438550	2438550	PRESERVED_SPECIMEN	NML	NML-VZ	A28.7.1924.1				CC_BY_NC_4_0	World Museum, National Museums Liverpool	Not recorded			2022-01-29T19:37:38.485Z		TYPE_STATUS_INVALID;COLLECTION_MATCH_FUZZY
3421109304	d53b5a65-b746-4703-9047-74a2ae9848a8	D.250	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus Waterhouse, 1840		IN			PRESENT	1	31f13427-163d-4422-a28f-6f5d14ae2017									1800-01-01T00:00:00			1800	2438550	2438550	PRESERVED_SPECIMEN	NML	NML-VZ	D.250				CC_BY_NC_4_0	World Museum, National Museums Liverpool	Not recorded			2022-01-29T19:37:38.439Z		TYPE_STATUS_INVALID;COLLECTION_MATCH_FUZZY
3417697824	6690ea02-c607-42a3-871b-da00586cbe54	AGM13299	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus	Waterhouse, 1840	BJ	Ketou	Plateau	PRESENT		633602e8-4c6f-4619-b433-c4968da3ed08	7.475015	2.480219							2016-10-16T00:00:00	16	10	2016	2438550	2438550	HUMAN_OBSERVATION	LEA	AGM-2015					CC_BY_4_0		ATAYI GUEDEGBE Majoie A. S. ; HOUNTON John;  NOUWLITO Barnabé T.; AHISSOU Claude; BOTON Francis			2022-01-29T11:10:56.936Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;TYPE_STATUS_INVALID
3417697811	6690ea02-c607-42a3-871b-da00586cbe54	AGM13269	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus	Waterhouse, 1840	BJ	Ketou	Plateau	PRESENT		633602e8-4c6f-4619-b433-c4968da3ed08	7.475028	2.480161							2016-10-27T00:00:00	27	10	2016	2438550	2438550	HUMAN_OBSERVATION	LEA	AGM-2015					CC_BY_4_0		ATAYI GUEDEGBE Majoie A. S. ; HOUNTON John;  NOUWLITO Barnabé T.; AHISSOU Claude; BOTON Francis			2022-01-29T11:10:56.935Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;TYPE_STATUS_INVALID
3417697787	6690ea02-c607-42a3-871b-da00586cbe54	AGM13241	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus	Waterhouse, 1840	BJ	Ketou	Plateau	PRESENT		633602e8-4c6f-4619-b433-c4968da3ed08	7.475014	2.480219							2016-10-10T00:00:00	10	10	2016	2438550	2438550	HUMAN_OBSERVATION	LEA	AGM-2015					CC_BY_4_0		ATAYI GUEDEGBE Majoie A. S. ; HOUNTON John;  NOUWLITO Barnabé T.; AHISSOU Claude; BOTON Francis			2022-01-29T11:10:56.934Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;TYPE_STATUS_INVALID
3417697764	6690ea02-c607-42a3-871b-da00586cbe54	AGM13221	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus	Waterhouse, 1840	BJ	Ketou	Plateau	PRESENT		633602e8-4c6f-4619-b433-c4968da3ed08	7.475015	2.480219							2016-06-12T00:00:00	12	6	2016	2438550	2438550	HUMAN_OBSERVATION	LEA	AGM-2015					CC_BY_4_0		ATAYI GUEDEGBE Majoie A. S. ; HOUNTON John;  NOUWLITO Barnabé T.; AHISSOU Claude; BOTON Francis			2022-01-29T11:10:56.933Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;TYPE_STATUS_INVALID
3417697751	6690ea02-c607-42a3-871b-da00586cbe54	AGM13228	Animalia	Chordata	Mammalia	Rodentia	Nesomyidae	Cricetomys	Cricetomys gambianus		SPECIES	Cricetomys gambianus Waterhouse, 1840	Cricetomys gambianus	Waterhouse, 1840	BJ	Ketou	Plateau	PRESENT		633602e8-4c6f-4619-b433-c4968da3ed08	7.475014	2.480219							2016-09-22T00:00:00	22	9	2016	2438550	2438550	HUMAN_OBSERVATION	LEA	AGM-2015					CC_BY_4_0		ATAYI GUEDEGBE Majoie A. S. ; HOUNTON John;  NOUWLITO Barnabé T.; AHISSOU Claude; BOTON Francis			2022-01-29T11:10:56.932Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;TYPE_STATUS_INVALID
