gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3003972784	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1404	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Khoneya	Kindia	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.14	-12.67							2004-01-01T00:00:00		1	2004	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1404				CC_BY_4_0		Fichet-Calvet, Elisabeth|Fichet-Calvet, Elisabeth			2021-09-01T11:19:26.742Z		GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972783	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1405	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Mankountan	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.53	-14.45							2005-03-12T00:00:00	12	3	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1405				CC_BY_4_0		Denys, Christiane|Lalis, Aude|Denys, Christiane			2021-09-01T11:19:26.745Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972782	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1444	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Boké	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.97	-14.28							2005-06-01T00:00:00		6	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1444				CC_BY_4_0		Lecompte, Emilie|Denys, Christiane|Lalis, Aude|Lecompte, Emilie			2021-09-01T11:19:26.738Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972781	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1443	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Boké	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.97	-14.28							2005-06-01T00:00:00		6	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1443				CC_BY_4_0		Lecompte, Emilie|Denys, Christiane|Lalis, Aude|Lecompte, Emilie			2021-09-01T11:19:26.738Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972780	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1446	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Boké	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.97	-14.28							2005-06-01T00:00:00		6	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1446				CC_BY_4_0		Lecompte, Emilie|Denys, Christiane|Lalis, Aude|Lecompte, Emilie			2021-09-01T11:19:26.738Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972779	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1441	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Boké	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.97	-14.28							2005-06-01T00:00:00		6	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1441				CC_BY_4_0		Lecompte, Emilie|Denys, Christiane|Lalis, Aude|Lecompte, Emilie			2021-09-01T11:19:26.741Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972778	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1440	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Boké	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.97	-14.28							2005-06-01T00:00:00		6	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1440				CC_BY_4_0		Lecompte, Emilie|Denys, Christiane|Lalis, Aude|Lecompte, Emilie			2021-09-01T11:19:26.741Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972777	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1445	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Boké	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.97	-14.28							2005-06-01T00:00:00		6	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1445				CC_BY_4_0		Lecompte, Emilie|Denys, Christiane|Lalis, Aude|Lecompte, Emilie			2021-09-01T11:19:26.739Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972776	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1442	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Boké	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.97	-14.28							2005-06-01T00:00:00		6	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1442				CC_BY_4_0		Lecompte, Emilie|Denys, Christiane|Lalis, Aude|Lecompte, Emilie			2021-09-01T11:19:26.738Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3003972775	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/2017-1448	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys erythroleucus		SPECIES	Mastomys erythroleucus (Temminck, 1853)	Mastomys erythroleucus (Temminck, 1853)	(Temminck, 1853)	GN	Boké	Boké	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e	10.97	-14.28							2005-06-01T00:00:00		6	2005	2438912	2438912	PRESERVED_SPECIMEN	MNHN	ZM	2017-1448				CC_BY_4_0		Lecompte, Emilie|Denys, Christiane|Lalis, Aude|Lecompte, Emilie			2021-09-01T11:19:26.737Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
