gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3028128977	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3db3096fd-5dfa-47d6-9b15-c161015a849e	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	"Camp Lemonnier, ""Airstrip"""	Djibouti Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5445	43.1579							2016-02-24T00:00:00	24	2	2016	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	12928900				CC0_1_0		M. McDonough & S. Anderson			2021-08-22T20:01:44.239Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028128914	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3d8f360d4-b2f1-4fe8-8c10-4d0567ac2eea	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	Chabelley Airfield, ca. 6 km SW Balbala	Arta Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5167	43.0667							2016-02-06T00:00:00	6	2	2016	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	12928892				CC0_1_0		Z. Dean & M. McDonough			2021-08-22T20:01:44.212Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028124449	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3cd10e84f-5de4-44d5-bf1c-0ca4a62b938f	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	Chabelley Airfield, ca. 6 km SW Balbala	Arta Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5167	43.0667							2016-02-06T00:00:00	6	2	2016	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	12928889				CC0_1_0		Z. Dean & M. McDonough			2021-08-22T20:01:45.067Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028123299	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3e4e06782-7a47-44ec-9c29-6e698d9f5878	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		MG	Vatomena, Itapera Forest, Ca 18 Km NE Tolagnaro [Taolagnaro]; Fiv. De Tolagnaro (=Tolanaro)	Toliara	PRESENT		bc092ff0-02e4-11dc-991f-b8a03c50a862	-24.8667	47.1167			10.0				1990-10-15T00:00:00	15	10	1990	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	10951009				CC0_1_0		G. Creighton & E. Raholimaro			2021-08-22T20:01:44.463Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028120054	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3bd60856c-4657-444b-8224-807d5c0170b9	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	"Camp Lemonnier, ca. 5.5 km SE Djibouti City, ""Eastern Shoreline"""	Djibouti Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5417	43.1667			5.0				2014-05-03T00:00:00	3	5	2014	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	11617607				CC0_1_0					2021-08-22T20:01:45.285Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028111324	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3ae458e33-cad9-4cf1-8dbf-d59837070927	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	"Camp Lemonnier, ""Airstrip"""	Djibouti Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5445	43.1579							2016-02-24T00:00:00	24	2	2016	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	12928897				CC0_1_0		M. McDonough & S. Anderson			2021-08-22T20:01:43.249Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028103908	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3a2c03719-f7d8-4464-b3fc-0f3d543e8917	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	"Camp Lemonnier, ca. 5.5 km SE Djibouti City, ""Eastern Shoreline"""	Djibouti Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5417	43.1667			5.0				2014-05-03T00:00:00	3	5	2014	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	11617605				CC0_1_0					2021-08-22T20:01:43.626Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028098354	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/372268da4-a601-4fcf-9d9d-e83339a57566	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	"Camp Lemonnier, ""Airstrip"""	Djibouti Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5445	43.1579							2016-02-05T00:00:00	5	2	2016	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	12759205				CC0_1_0		M. McDonough & B. Gluck			2021-08-22T20:01:42.932Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028094910	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3842ff838-da92-4d73-862e-40137ce7b5b4	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	"Camp Lemonnier, ca. 5.5 km SE Djibouti City, ""Combat Aircraft Loading Area"""	Djibouti Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5417	43.1667			5.0				2014-05-05T00:00:00	5	5	2014	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	11617924	SCP 2570	Carleton, Michael D., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)		CC0_1_0					2021-08-22T20:01:43.655Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3028093608	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/37c4e1b38-b61a-49c8-a56d-04dd5bfda9b0	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus		SPECIES	Rattus rattus (Linnaeus, 1758)	Rattus rattus		DJ	Chabelley Airfield, ca. 6 km SW Balbala	Arta Region	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	11.5167	43.0667							2016-02-06T00:00:00	6	2	2016	2439270	2439270	MATERIAL_SAMPLE	USNM	Mammals	12759220				CC0_1_0		Z. Dean & M. McDonough			2021-08-22T20:01:43.021Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
